pathway_id,last_country
2013-07-18_1,LBY
2013-07-18_2,ZZA
2013-07-18_3,ZZB
2015-08-05_1,MKD
2015-09-26_1,SEN
2015-09-30_1,SMR
2015-09-30_2,TUR
2015-10-01_1,MOZ
2015-10-01_2,PHL
2015-11-12_1,IRQ
2015-11-21_1,IRN
2015-11-23_1,YEM
2015-12-01_1,BRN
2016-03-24_1,PNG
2016-04-07_1,NRU
2016-04-18_1,PAN
2016-04-20_1,BLZ
2016-04-22_1,BRB
2016-04-22_10,SOM
2016-04-22_11,TUV
2016-04-22_12,WSM
2016-04-22_2,FJI
2016-04-22_3,GRD
2016-04-22_4,KNA
2016-04-22_5,LCA
2016-04-22_6,MDV
2016-04-22_7,MHL
2016-04-22_8,MUS
2016-04-22_9,PLW
2016-04-29_1,SYC
2016-05-10_1,AUT
2016-05-10_2,DEU
2016-05-10_3,FRA
2016-05-10_4,HUN
2016-05-10_5,MLT
2016-05-10_6,PRT
2016-05-10_7,SVK
2016-05-20_1,GUY
2016-06-20_1,NOR
2016-06-29_1,VCT
2016-07-25_1,PER
2016-07-29_1,CMR
2016-09-01_1,COK
2016-09-03_1,CHN
2016-09-03_2,USA
2016-09-07_1,LAO
2016-09-15_1,FSM
2016-09-19_1,MAR
2016-09-19_2,UKR
2016-09-21_1,ALB
2016-09-21_10,GIN
2016-09-21_11,GNB
2016-09-21_12,HND
2016-09-21_13,ISL
2016-09-21_14,KIR
2016-09-21_15,LKA
2016-09-21_16,MDG
2016-09-21_17,MEX
2016-09-21_18,MNG
2016-09-21_19,NAM
2016-09-21_2,ARE
2016-09-21_20,NER
2016-09-21_21,SGP
2016-09-21_22,SLB
2016-09-21_23,SWZ
2016-09-21_24,THA
2016-09-21_25,TON
2016-09-21_26,UGA
2016-09-21_27,VUT
2016-09-21_3,ATG
2016-09-21_4,BGD
2016-09-21_5,BLR
2016-09-21_6,BRA
2016-09-21_7,DMA
2016-09-21_8,DOM
2016-09-21_9,GHA
2016-09-23_1,MLI
2016-10-02_1,IND
2016-10-03_1,PRK
2016-10-05_1,CAN
2016-10-05_2,NPL
2016-10-05_3,NZL
2016-10-06_1,RWA
2016-10-07_1,POL
2016-10-11_1,CAF
2016-10-13_1,CRI
2016-10-13_2,SWE
2016-10-14_1,GRC
2016-10-14_2,PRY
2016-10-20_1,DZA
2016-10-21_1,TKM
2016-10-25_1,CIV
2016-10-26_1,MCO
2016-10-28_1,NIU
2016-10-31_1,BEN
2016-10-31_2,BHS
2016-10-31_3,BOL
2016-11-01_1,DNK
2016-11-01_2,SLE
2016-11-01_3,ZAF
2016-11-02_1,GAB
2016-11-02_2,STP
2016-11-03_1,KOR
2016-11-03_2,SAU
2016-11-03_3,VNM
2016-11-04_1,EST
2016-11-04_2,IRL
2016-11-04_3,JOR
2016-11-04_4,LUX
2016-11-06_1,IDN
2016-11-07_1,GMB
2016-11-08_1,JPN
2016-11-09_1,AUS
2016-11-10_1,PAK
2016-11-11_1,BFA
2016-11-11_2,BWA
2016-11-11_3,DJI
2016-11-11_4,ITA
2016-11-14_1,FIN
2016-11-16_1,MYS
2016-11-17_1,ARG
2016-11-18_1,GBR
2016-11-22_1,ISR
2016-11-23_1,AFG
2016-11-23_2,COM
2016-11-29_1,BGR
2016-12-06_1,KAZ
2016-12-09_1,ZMB
2016-12-16_1,SVN
2016-12-28_1,KEN
2016-12-30_1,BHR
2016-12-30_2,CUB
2017-01-04_1,CYP
2017-01-09_1,AZE
2017-01-12_1,ESP
2017-01-12_2,TCD
2017-01-20_1,LSO
2017-01-25_1,GTM
2017-02-02_1,LTU
2017-02-06_1,KHM
2017-02-10_1,CHL
2017-02-10_2,TUN
2017-02-27_1,MRT
2017-03-09_1,ETH
2017-03-16_1,BIH
2017-03-16_2,LVA
2017-03-22_1,TJK
2017-03-23_1,ARM
2017-03-24_1,AND
2017-03-27_1,SLV
2017-04-06_1,BEL
2017-04-10_1,JAM
2017-04-21_1,COG
2017-05-08_1,GEO
2017-05-16_1,NGA
2017-05-24_1,HRV
2017-06-01_1,ROU
2017-06-20_1,MDA
2017-06-23_1,QAT
2017-06-28_1,TGO
2017-06-29_1,EGY
2017-06-29_2,MWI
2017-07-21_1,VEN
2017-07-25_1,SRB
2017-07-28_1,NLD
2017-07-31_1,HTI
2017-08-02_1,SDN
2017-08-07_1,ZWE
2017-08-16_1,TLS
2017-08-21_1,PSE
2017-09-19_1,BTN
2017-09-19_2,MMR
2017-09-20_1,LIE
2017-09-21_1,CPV
2017-10-05_1,CZE
2017-10-06_1,CHE
2017-11-14_1,URY
2017-11-14_2,URY
2017-12-13_1,COD
2017-12-21_1,MNE
2018-01-17_1,BDI
2018-02-22_1,TTO
2018-04-23_1,KWT
2018-04-30_1,ZZB
2018-05-18_1,TZA
2018-06-19_1,ERI
2018-07-12_1,COL
2018-08-27_1,LBR
2018-09-03_1,NIC
2018-10-30_1,GNQ
2018-10-30_2,GNQ
2018-11-09_1,UZB
2018-11-30_1,SYR
2019-03-29_1,ECU
2019-03-29_2,ECU
2019-05-22_1,OMN
2019-10-04_1,ZZA
2020-02-05_1,LBN
2020-02-07_1,NOR
2020-02-18_1,KGZ
2020-03-04_1,MDA
2020-03-31_1,SGP
2020-04-09_1,CHL
2020-05-20_1,AND
2020-05-20_2,RWA
2020-07-01_1,JAM
2020-07-30_1,BRB
2020-09-11_1,VNM
2020-09-17_1,CUB
2020-09-19_1,PRK
2020-10-13_1,MNG
2020-10-26_1,THA
2020-11-16_1,AGO
2020-11-26_1,RUS
2020-11-26_2,RUS
2020-12-01_1,GRD
2020-12-09_1,BRA
2020-12-09_2,CHE
2020-12-09_3,NPL
2020-12-09_4,SUR
2020-12-09_5,SUR
2020-12-09_6,TON
2020-12-12_1,GBR
2020-12-16_1,PNG
2020-12-18_1,AUT
2020-12-18_10,FIN
2020-12-18_11,FRA
2020-12-18_12,GRC
2020-12-18_13,HRV
2020-12-18_14,HUN
2020-12-18_15,IRL
2020-12-18_16,ITA
2020-12-18_17,LTU
2020-12-18_18,LUX
2020-12-18_19,LVA
2020-12-18_2,BEL
2020-12-18_20,MLT
2020-12-18_21,NLD
2020-12-18_22,POL
2020-12-18_23,PRT
2020-12-18_24,ROU
2020-12-18_25,SVK
2020-12-18_26,SVN
2020-12-18_27,SWE
2020-12-18_3,BGR
2020-12-18_4,CYP
2020-12-18_5,CZE
2020-12-18_6,DEU
2020-12-18_7,DNK
2020-12-18_8,ESP
2020-12-18_9,EST
2020-12-19_1,PER
2020-12-24_1,NIC
2020-12-28_1,KEN
2020-12-28_2,MCO
2020-12-28_3,MDV
2020-12-28_4,PAN
2020-12-29_1,ARE
2020-12-29_2,CRI
2020-12-29_3,DOM
2020-12-29_4,SEN
2020-12-30_1,ARG
2020-12-30_2,COL
2020-12-30_3,KOR
2020-12-30_4,MEX
2020-12-30_5,MHL
2020-12-31_1,BRN
2020-12-31_2,FJI
2020-12-31_3,KHM
2021-01-27_1,LCA
2021-02-18_1,ISL
2021-02-23_1,SSD
2021-03-16_1,LBN
2021-03-22_1,VUT
2021-04-02_1,CPV
2021-04-15_1,PHL
2021-04-16_1,MKD
2021-04-20_1,BIH
2021-04-22_1,USA
2021-05-05_1,ARM
2021-05-05_2,GEO
2021-05-11_1,LAO
2021-05-19_1,HND
2021-05-31_1,AGO
2021-05-31_2,SDN
2021-06-15_1,MNE
2021-06-22_1,MAR
2021-06-24_1,BTN
2021-07-12_1,CAN
2021-07-16_1,PRY
2021-07-19_1,SLB
2021-07-22_1,IDN
2021-07-23_1,ETH
2021-07-28_1,GIN
2021-07-29_1,ISR
2021-07-29_2,OMN
2021-07-30_1,MWI
2021-07-30_2,MYS
2021-07-30_3,NAM
2021-07-30_4,NGA
2021-07-30_5,STP
2021-07-30_6,SYC
2021-07-30_7,TZA
2021-07-30_8,WSM
2021-07-30_9,ZMB
2021-07-31_1,SLE
2021-07-31_2,SOM
2021-07-31_3,UKR
2021-08-02_1,COG
2021-08-03_1,MMR
2021-08-04_1,LBR
2021-08-24_1,QAT
2021-08-26_1,BGD
2021-09-01_1,BLZ
2021-09-02_1,ATG
2021-09-12_1,GMB
2021-09-21_1,SSD
2021-09-24_1,LKA
2021-09-24_2,ZWE
2021-09-27_1,ZAF
2021-10-05_1,BDI
2021-10-05_2,MUS
2021-10-09_1,BFA
2021-10-09_2,KGZ
2021-10-10_1,PSE
2021-10-10_2,TUN
2021-10-11_1,BLR
2021-10-11_2,CMR
2021-10-11_3,MLI
2021-10-12_1,ALB
2021-10-12_10,UGA
2021-10-12_2,BEN
2021-10-12_3,GNB
2021-10-12_4,JOR
2021-10-12_5,KWT
2021-10-12_6,MRT
2021-10-12_7,SWZ
2021-10-12_8,TGO
2021-10-12_9,TJK
2021-10-14_1,NRU
2021-10-15_1,GHA
2021-10-15_2,IRQ
2021-10-18_1,BHR
2021-10-19_1,TCD
2021-10-21_1,PAK
2021-10-22_1,JPN
2021-10-23_1,SAU
2021-10-25_1,KNA
2021-10-28_1,AUS
2021-10-28_2,CHN
2021-10-30_1,UZB
2021-11-01_1,IND
2021-11-03_1,NZL
2021-11-09_1,VEN
